unit,word,definition,source,flag
1,appearance,[n] The way something looks; personal presence; [n] The act of appearing or coming into sight; the act of becoming visible to the eye,Datamuse 조회,
1,emerge,[v] To come into view; [v] To become known,Datamuse 조회,
1,essential,[adj] Necessary; [adj] Very important; of high importance,Datamuse 조회,
1,major,"[adj] Greater in dignity, rank, importance, significance, or interest; [adj] Prominent or significant in size, amount, or degree",Datamuse 조회,
1,sake,"[n] cause, interest or account; [n] purpose or end; reason",Datamuse 조회,
1,package,"[n] Something which is packed, a parcel, a box, an envelope; [n] Something which consists of various components, such as a piece of computer software",Datamuse 조회,
1,radical,"[adj] Favoring fundamental change, or change at the root cause of a matter; [adj] Pertaining to a root (of a plant)",Datamuse 조회,
1,feature,"[n] An important or main item; [n] Any of the physical constituents of the face (eyes, nose, etc.)",Datamuse 조회,
1,grant,"[v] To give (permission or wish); [v] To give (bestow upon or confer, particularly in answer to prayer or request)",Datamuse 조회,
1,tone,"[n] The character of a sound, especially the timbre of an instrument or voice; [n] The shade or quality of a colour",Datamuse 조회,
1,relieve,"[v] To ease (a person, person's thoughts etc.) from mental distress; to stop (someone) feeling anxious or worried, to alleviate the...; [v] To ease (someone, a part of the body etc.) or give relief from physical pain or discomfort",Datamuse 조회,
1,phenomenon,"[n] A thing or being, event or process, perceptible through senses; or a fact or occurrence thereof; [n] A fact or event considered very unusual, curious, or astonishing by those who witness it",Datamuse 조회,
1,contain,[v] To hold inside; [v] To include as a part,Datamuse 조회,
1,tickle,"[v] To touch repeatedly or stroke delicately in a manner which typically causes laughter, pleasure and twitching; [n] The act of tickling",Datamuse 조회,
1,absorb,"[v] To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to...; [v] To suck up; to drink in; to imbibe, like a sponge or as the lacteals of the body; to chemically take in",Datamuse 조회,
1,static,"[adj] Unchanging; that cannot or does not change; [adj] Making no progress; stalled, without movement or advancement",Datamuse 조회,
1,comfort,"[n] Contentment, ease; [n] A consolation; something relieving suffering or worry",Datamuse 조회,
1,ensure,[v] To make sure or certain of something (usually some future event or condition),Datamuse 조회,
1,derive,[v] To obtain or receive (something) from something else; [v] To originate or stem (from),Datamuse 조회,
1,generate,[v] To bring into being; give rise to; [v] To produce as a result of a chemical or physical process,Datamuse 조회,
1,population,"[n] The people living within a political or geographical boundary; [n] A count of the number of residents within a political or geographical boundary such as a town, a nation or the world",Datamuse 조회,
1,demonstrate,"[v] To show, display, or present; to prove or make evident; [v] To show how to use (something)",Datamuse 조회,
1,humanity,[n] Humankind; human beings as a group; [n] The human condition or nature,Datamuse 조회,
1,neutral,[adj] Favoring neither the supporting nor opposing viewpoint of a topic of debate; unbiased; [adj] Neither positive nor negative,Datamuse 조회,
1,ultimate,[adj] Being the greatest possible; maximum; most extreme; [adj] Final; last in a series,Datamuse 조회,
1,session,"[n] A period of time devoted to a particular activity; [n] An official meeting or term of a council, court, or other body to conduct its business; e.g. the annual or semiannual periods of a...",Datamuse 조회,
1,strip,"[n] A long, thin piece of land; any long, thin area; [n] A street with multiple shopping or entertainment possibilities",Datamuse 조회,
1,illusion,[n] Anything that seems to be something that it is not; [n] A misapprehension; a belief in something that is in fact not true,Datamuse 조회,
1,tempt,"[v] To provoke someone to do wrong, especially by promising a reward; to entice; [v] To attract; to allure",Datamuse 조회,
1,modify,[v] To change part of; [v] To qualify the meaning of,Datamuse 조회,
1,owe,[v] To be under an obligation to give something back to someone or to perform some action for someone; [v] To have debt; to be in debt,Datamuse 조회,
1,expose,"[v] To reveal, uncover, make visible, bring to light, introduce (to); [v] To subject photographic film to light thereby recording an image",Datamuse 조회,
1,passage,[n] A paragraph or section of text or music with particular meaning; [n] Part of a path or journey,Datamuse 조회,
1,register,"[n] A formal recording of names, events, transactions, etc; [n] A book of such entries",Datamuse 조회,
1,dust,"[n] Fine particles; [n] Fine, dry particles of matter found in the air and covering the surface of objects, typically consisting of soil lifted up by the...",Datamuse 조회,
2,attain,"[v] To gain (an object or desired result); [v] To reach or come to, by progression or motion; to arrive at (a place, time, state, etc.)",Datamuse 조회,
2,abandon,"[v] To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions; [v] To leave behind; to desert, as in a ship, a position, or a person, typically in response to overwhelming odds or impending dangers; to...",Datamuse 조회,
2,facilitate,[v] To make easy or easier; [v] To help bring about,Datamuse 조회,
2,inherent,[adj] Naturally as part or consequence of something,Datamuse 조회,
2,exceed,"[v] To go beyond (some limit); to surpass; to be longer than; [v] To be larger, greater than (something)",Datamuse 조회,
2,dense,[adj] Having relatively high density; [adj] Compact; crowded together,Datamuse 조회,
2,seemingly,[adv] As it appears; apparently; [adv] In a seemly manner; decorously; with propriety,Datamuse 조회,
2,interfere,"[v] To get involved or involve oneself, causing disturbance; [v] To be correlated with each other when overlapped or superposed",Datamuse 조회,
2,substitute,"[v] To use in place of something else, with the same function; [v] To use X in place of Y",Datamuse 조회,
2,eliminate,"[v] To completely remove, get rid of, put an end to; [v] To exclude (from investigation or from further competition)",Datamuse 조회,
2,versus,[v] To face in competition; [v] To fight,Datamuse 조회,
2,assign,[v] To designate or set apart (something) for some purpose; [v] To allot or give (something) as a task,Datamuse 조회,
2,assemble,[v] To put together; [v] To gather as a group,Datamuse 조회,
2,glow,[v] To emit heat and light without a flame; [v] Of a fire: to emit heat and light,Datamuse 조회,
2,trigger,"[n] An event that initiates others, or incites a response; [n] A similar device used to activate any mechanism",Datamuse 조회,
2,browse,"[v] To scan, to casually look through in order to find items of interest, especially without knowledge of what to look for beforehand; [v] To move about while sampling, such as with food or products on display",Datamuse 조회,
2,moisture,[n] The state of being moist; [n] That which moistens or makes damp or wet; exuding fluid; liquid in small quantity,Datamuse 조회,
2,prior,"[adj] Coming before in order or time; earlier, former, previous; [adj] More important or significant",Datamuse 조회,
2,vice,[n] Bad or immoral behaviour; [adj] in place of; subordinate to; designating a person below another in rank,Datamuse 조회,
2,exert,"[v] To make use of, to apply, especially of something non-material; to bring to bear; [v] To put in vigorous action",Datamuse 조회,
2,fade,"[v] To grow weak; to lose strength; to decay; to perish gradually; to wither, as a plant; [v] To lose freshness, color, or brightness; to become faint in hue or tint; hence, to be wanting in color",Datamuse 조회,
2,leak,"[n] A divulgation, or disclosure, of information previously held secret; [n] A crack, crevice, fissure, or hole which admits water or other fluid, or lets it escape",Datamuse 조회,
2,swift,[adj] Fast; quick; rapid; [adj] Capable of moving at high speeds,Datamuse 조회,
2,beforehand,[adv] At an earlier or preceding time,Datamuse 조회,
2,conceal,"[v] To hide something from view or from public knowledge, to try to keep something secret",Datamuse 조회,
2,terminal,[n] A building in an airport where passengers transfer from ground transportation to the facilities that allow them to board airplanes; [n] A harbour facility where ferries embark and disembark passengers and load and unload vehicles,Datamuse 조회,
2,prone,"[adj] Lying face-down; [adj] Of the hand, forearm or foot: turned facing away from the body; with the thumb inward or big toe downward",Datamuse 조회,
2,sustain,"[v] To maintain, or keep in existence; [v] To provide for or nourish",Datamuse 조회,
2,upcoming,[adj] Happening or appearing in the relatively near future; [adj] Eggcorn of up-and-coming,Datamuse 조회,
2,classify,"[v] to identify by or divide into classes; to categorize; [v] to declare something a secret, especially a government secret",Datamuse 조회,
2,breakdown,"[n] A failure, particularly one which is mechanical in nature; [n] Something, such as a vehicle, that has experienced a mechanical failure",Datamuse 조회,
2,assure,[v] To make sure and secure; ensure; [v] To give (someone) confidence in the trustworthiness of (something),Datamuse 조회,
2,absurd,[adj] Contrary to reason or propriety; obviously and flatly opposed to manifest truth; inconsistent with the plain dictates of common sense...; [adj] Having no rational or orderly relationship to people's lives; meaningless; lacking order or value,Datamuse 조회,
2,foster,"[v] To nurture or bring up offspring, or to provide similar parental care to an unrelated child; [v] To promote the development of something; to cultivate and grow a thing",Datamuse 조회,
2,permanent,"[adj] Lasting for an indefinitely long time; [adj] Without end, eternal",Datamuse 조회,
2,fatal,[adj] Causing death or destruction; [n] A fatality; an event that leads to death,Datamuse 조회,
2,superstition,"[n] A belief or beliefs, not based on human reason or scientific knowledge, that events may be influenced by one's behavior in some...",Datamuse 조회,
2,retain,"[v] Often followed by from: to hold back (someone or something); to check, to prevent, to restrain, to stop; [v] To hold back (a pupil) instead of allowing them to advance to the next class or year; to keep back",Datamuse 조회,
3,emergency,"[n] The department of a hospital that treats emergencies; [n] A person brought in at short notice to replace a member of staff, a player in a sporting team, etc",Datamuse 조회,
3,harsh,[adj] Unpleasantly rough to the touch or other senses; [adj] Severe or cruel,Datamuse 조회,
3,merit,[n] Something deserving or worthy of positive recognition or reward; [n] A claim to commendation or a reward,Datamuse 조회,
3,barrier,[n] A structure that bars passage; [n] An obstacle or impediment,Datamuse 조회,
3,integrate,[v] To include as a constituent part or functionality; [v] To form into one whole; to make entire; to complete; to renew; to restore; to perfect,Datamuse 조회,
3,vulnerable,"[adj] More or most likely to be exposed to the chance of being attacked or harmed, either physically or emotionally; [adj] Open to disclosing one's inner thoughts and feelings, acting in spite of one's instinct to self-preservation",Datamuse 조회,
3,remarkable,[adj] Worthy of remark; notable; interesting; [adj] Uncommon; unusual,Datamuse 조회,
3,norm,[n] A rule that is imposed by regulations and/or socially enforced by members of a community; [n] if v ne 0 then ‖v‖ ne 0,Datamuse 조회,
3,vast,"[adj] Very large or wide (literally or figuratively); [adj] Very great in size, amount, degree, intensity, or especially extent",Datamuse 조회,
3,bunch,"[n] A group of similar things, either growing together, or in a cluster or clump, usually fastened together; [n] An informal body of friends",Datamuse 조회,
3,equality,[n] The fact of being equal; [n] The equal treatment of people irrespective of social or cultural differences,Datamuse 조회,
3,mount,"[n] An animal, usually a horse, used to ride on; [v] To get upon; to ascend; to climb",Datamuse 조회,
3,prominent,[adj] Likely to attract attention from its size or position; conspicuous; [adj] Eminent; distinguished above others,Datamuse 조회,
3,subtle,"[adj] Senses relating to tangible things; [adj] Of an action or movement: very delicate or slight, and thus barely noticeable; not obvious; inconspicuous, unintrusive",Datamuse 조회,
3,duration,"[n] An amount of time or a particular time interval; [n] The time taken for the current situation to end, especially the current war",Datamuse 조회,
3,portion,"[n] An allocated amount; [n] That which is divided off or separated, as a part from a whole; a separated part of anything",Datamuse 조회,
3,visible,[adj] Able to be seen,Datamuse 조회,
3,gaze,"[v] To stare intently or earnestly; [n] A fixed look; a look of eagerness, wonder, or admiration; a continued look of attention",Datamuse 조회,
3,glance,"[v] To turn (one's eyes or look) at something, often briefly; [v] To look briefly at (something)",Datamuse 조회,
3,tremendous,"[adj] Notable for its size, power, or excellence; [adj] Extremely large (in amount, extent, degree, etc.) or great",Datamuse 조회,
3,overlap,"[v] To extend over and partly cover something; [v] To co-occur, to happen at the same time",Datamuse 조회,
3,remote,[adj] At a distance; disconnected; [adj] Distant or otherwise inaccessible,Datamuse 조회,
3,parallel,"[adj] Equally distant from one another at all points; [adj] Having the same overall direction; the comparison is indicated with ""to""",Datamuse 조회,
3,optimal,"[adj] The best, most favourable or desirable, especially under some restriction; [n] The best of its kind",Datamuse 조회,
3,abundant,[adj] Fully sufficient; found in copious supply; in great quantity; overflowing; [adj] Richly supplied; wealthy; possessing in great quantity,Datamuse 조회,
3,capacity,"[n] The ability to hold, receive, or absorb; [n] The maximum amount that can be held",Datamuse 조회,
3,crude,"[adj] In a natural, untreated state; [adj] Characterized by simplicity, especially something not carefully or expertly made",Datamuse 조회,
3,detach,[v] To take apart from; to take off; [v] To come off something,Datamuse 조회,
3,external,[adj] Outside of something; on the exterior; [adj] Capable of being perceived outwardly,Datamuse 조회,
3,outward,[adj] Outer; located towards the outside; [adj] Tending to the exterior or outside,Datamuse 조회,
3,lessen,[v] To make less; to diminish; to reduce; [v] To become less,Datamuse 조회,
3,diminish,[v] To make smaller; [v] To become less or smaller,Datamuse 조회,
3,shrink,[v] To become smaller; to contract; [v] To cause to become smaller,Datamuse 조회,
3,format,[n] The layout of a publication or document; [n] The form of presentation of something,Datamuse 조회,
3,ethical,"[adj] Of or relating to the accepted principles of right and wrong, especially those of some organization or profession; [adj] Morally approvable; good",Datamuse 조회,
3,constitute,[v] To make up; to compose; to form; [v] To set up; to establish; to enact,Datamuse 조회,
3,excel,[v] To be much better than others; [v] To surpass someone or something; to be better or do better than someone or something,Datamuse 조회,
3,certificate,[n] A document containing a certified statement; [n] A document evidencing ownership or debt,Datamuse 조회,
3,strive,[v] To try to achieve a result; to make strenuous effort; to try earnestly and persistently; [v] To struggle in opposition; to be in contention or dispute; to contend; to contest,Datamuse 조회,
3,behalf,"[n] The interest, benefit, or wellbeing of someone or something; [n] One's role or rightful place; stead or authority",Datamuse 조회,
3,defend,"[v] To ward off attacks against; to fight to protect; to guard; [v] To support by words or writing; to vindicate, talk in favour of",Datamuse 조회,
3,cue,"[n] An action or event that is a signal for somebody to do something; [n] The last words of a play actor's speech, serving as an intimation for the next actor to speak; any word or words which serve to remind...",Datamuse 조회,
3,engage,[v] To engross or hold the attention of; to keep busy or occupied; [v] To interact socially,Datamuse 조회,
3,similarity,[n] Closeness of appearance to something else; [n] The relation of sharing properties,Datamuse 조회,
3,potent,"[adj] Powerful; possessing power; effective; [adj] Possessing authority or influence; persuasive, convincing",Datamuse 조회,
4,invest,"[v] To spend money, time, or energy on something, especially for some benefit or purpose; used with in; [v] To commit money or capital in the hope of financial gain",Datamuse 조회,
4,substance,[n] Physical matter; material; [n] A form of matter that has constant chemical composition and characteristic properties,Datamuse 조회,
4,mission,"[n] A set of tasks that fulfills a purpose or duty; an assignment set by an employer, or by oneself; [n] A important goal or purpose; an objective",Datamuse 조회,
4,faith,"[n] A conviction about abstractions, ideas, or beliefs, without empirical evidence, experience, or observation; [n] A trust or confidence in the intentions or abilities of a person, object, or ideal from prior empirical evidence",Datamuse 조회,
4,hence,"[adv] As a result; therefore, for this reason; [adv] In the future from now",Datamuse 조회,검토권장
4,dominate,"[v] To govern, rule or control by superior authority or power; [v] To exert an overwhelming guiding influence over something or someone",Datamuse 조회,
4,overwhelm,"[v] To overpower emotionally; [v] To overpower, crush",Datamuse 조회,
4,protest,[v] To make a strong objection; [v] To publicly demonstrate against,Datamuse 조회,
4,scatter,[v] To distribute loosely as by sprinkling; [n] A collection of dispersed objects,Datamuse 조회,
4,dilemma,[n] A circumstance in which a choice must be made between two or more alternatives that seem equally undesirable; [n] Any difficult circumstance or problem,Datamuse 조회,
4,vertical,"[adj] Standing, pointing, or moving straight up or down; parallel to the local direction of gravity; along the direction of a plumb line...; [adj] In a two-dimensional Cartesian co-ordinate system, describing the axis y oriented normal (perpendicular, at right angles) to the...",Datamuse 조회,
4,attribute,"[n] A characteristic or quality of a thing; [n] An object that is considered typical of someone or some function, in particular as an artistic convention",Datamuse 조회,
4,inevitable,[adj] Impossible to avoid or prevent; [adj] Predictable or always happening,Datamuse 조회,
4,simultaneously,[adv] Occurring at the same time,Datamuse 조회,
4,tremble,"[v] To shake, quiver, or vibrate; [n] A shake, quiver, or vibration",Datamuse 조회,
4,spare,"[adj] Being more than what is necessary, or what must be used or reserved; not wanted, or not used; superfluous; [adj] Held in reserve, to be used in an emergency",Datamuse 조회,
4,temporary,"[adj] Not permanent; existing only for a period or periods of time; [adj] Existing only for a short time or short times; transient, ephemeral",Datamuse 조회,
4,undermine,"[v] To weaken or work against; to hinder, sabotage; [v] To erode the base or foundation of something, e.g. by the action of water",Datamuse 조회,
4,rub,"[v] To move (one object) while maintaining contact with another object over some area, with pressure and friction; [v] To spread a substance thinly over; to smear",Datamuse 조회,
4,cope,"[v] To deal effectively with something, especially if difficult; [n] Any covering such as a canopy or a mantle",Datamuse 조회,
4,vague,[adj] Not clearly expressed; stated in indefinite terms; [adj] Not having a precise meaning,Datamuse 조회,
4,dim,"[adj] Not bright or colorful; [adj] Indistinct, hazy or unclear",Datamuse 조회,
4,blur,"[v] To make indistinct or hazy, to obscure or dim; [v] To become indistinct",Datamuse 조회,
4,posture,[n] The way a person holds and positions their body; [n] One's attitude or the social or political position one takes towards an issue or another person,Datamuse 조회,
4,collision,"[n] An instance of colliding; [n] Any event in which two or more bodies exert forces on each other in a relatively short time. In a collision, physical contact of two...",Datamuse 조회,
4,conscience,"[n] The ethical or moral sense of right and wrong, chiefly as it affects a person’s own behaviour and forms their attitude to their past...; [n] A personification of the moral sense of right and wrong, usually in the form of a person, a being or merely a voice that gives moral...",Datamuse 조회,
4,oval,"[n] An elongated round shape resembling an egg or ellipse; [n] A thing having such a shape, such as an arena",Datamuse 조회,
4,steep,"[adj] Of a near-vertical gradient; of a slope, surface, curve, etc. that proceeds upward at an angle near vertical; [adj] Expensive",Datamuse 조회,
4,magnitude,"[n] The absolute or relative size, extent or importance of something; [n] A ratio of intensity expressed as a logarithm",Datamuse 조회,
4,worthwhile,"[adj] Good and important enough to spend time, effort, or money on",Datamuse 조회,
4,minimize,"[v] To make (something) smaller or as small as possible; shrink; reduce; [v] To remove (a window) from the main display area, collapsing it to an icon or caption",Datamuse 조회,
4,integral,[adj] Constituting a whole together with other parts or factors; not omittable or removable; [adj] Relating to integration (“the process of finding the integral [noun] of a function”),Datamuse 조회,
4,cease,[v] To stop doing (something),Datamuse 조회,
4,bind,[v] To tie; to confine by any ligature; [v] To cohere or stick together in a mass,Datamuse 조회,
4,grasp,"[v] To understand; [v] To grip; to take hold, particularly with the hand",Datamuse 조회,
4,elevate,[v] To raise (something) to a higher position; [v] To promote (someone) to a higher rank,Datamuse 조회,
5,domestic,"[adj] Of or relating to the home; [adj] Of or relating to activities normally associated with the home, wherever they actually occur",Datamuse 조회,
5,investigate,"[v] To inquire into or study in order to ascertain facts or information; [v] To examine, look into, or scrutinize in order to discover something hidden or secret",Datamuse 조회,
5,cite,"[v] To quote; to repeat, as a passage from a book, or the words of another; [v] To mention; to make mention of",Datamuse 조회,
5,trivial,"[adj] Ignorable; of little significance or value; [adj] Commonplace, ordinary",Datamuse 조회,
5,extinguish,"[v] To stop (fire, etc.) from burning; also, to stop (light, etc.) from shining; to put out, to quench; [v] To put an end to (something) completely; to annihilate, to destroy",Datamuse 조회,
5,deprive,"[v] Used with “of”, to take something away from (someone) and keep it away; to deny someone something; [v] To bereave",Datamuse 조회,
5,weird,[adj] Having an unusually strange character or behaviour; [adj] Deviating from the normal; bizarre,Datamuse 조회,
5,disorder,[n] Absence of order; state of not being arranged in an orderly manner; [n] A physical or mental malfunction,Datamuse 조회,
5,ambiguous,[adj] Open to multiple interpretations,Datamuse 조회,
5,thrive,"[v] To increase in wealth or success; to prosper, be profitable; [v] To grow or increase stature; to grow vigorously or luxuriantly, to flourish",Datamuse 조회,
5,flourish,[v] To thrive or grow well; [v] To prosper or fare well,Datamuse 조회,
5,fragile,"[adj] Easily broken, not sturdy; of delicate material; [adj] Readily disrupted or destroyed",Datamuse 조회,
5,interval,[n] A period of time; [n] A distance in space,Datamuse 조회,
5,vibrate,"[v] To shake with small, rapid movements to and fro; [v] To resonate",Datamuse 조회,
5,breakthrough,[adj] Characterized by major progress or overcoming some obstacle; [n] Any major progress; such as a great innovation or discovery that overcomes a significant obstacle,Datamuse 조회,
5,clarify,[v] To make or become clear or easily understood; to explain or resolve in order to remove doubt or obscurity; [v] To make or become clear or bright by freeing from impurities or turbidity,Datamuse 조회,
5,accelerate,[v] To cause to move faster; to quicken the motion of; to add to the speed of; [v] To become faster; to begin to move more quickly,Datamuse 조회,
5,abnormal,"[adj] Not conforming to rule or system; deviating from the usual or normal type; [adj] Of or pertaining to that which is irregular, in particular, behaviour that deviates from norms of social propriety or accepted...",Datamuse 조회,
5,drastic,"[adj] Having a strong or far-reaching effect; extreme, severe; [n] A powerful, fast-acting purgative medicine",Datamuse 조회,
5,activate,"[v] To put a device, mechanism (alarm etc.) or system into action or motion; to trigger, to actuate, to set off, to enable; [v] To encourage development or induce increased activity; to stimulate",Datamuse 조회,
5,allot,[v] To assign or designate as a task or for a purpose; [v] To distribute or apportion by (or as if by) lot,Datamuse 조회,
5,hinder,"[v] To make difficult to accomplish; to act as an obstacle; to frustrate; [v] To delay or impede; to keep back, to prevent",Datamuse 조회,
