day,word,definition,difficulty,korean
1,achieve,to succeed in reaching a goal after making an effort,2,"성취하다, 이루다"
1,compare,to examine two things to see how they are alike or different,2,비교하다
1,discover,to find something that was not known before,2,발견하다
1,encourage,to give someone support or confidence,2,"격려하다, 용기를 북돋우다"
1,patient,able to stay calm while waiting for something,2,참을성 있는
1,protect,to keep someone or something safe from harm,2,"보호하다, 지키다"
2,arrange,to put things in a particular order or position,2,"정리하다, 배열하다"
2,benefit,a helpful result or an advantage,2,"이익, 혜택"
2,consider,to think carefully about something,2,"고려하다, 숙고하다"
2,describe,to say what someone or something is like,2,"묘사하다, 설명하다"
2,improve,to make something better than it was before,2,"개선하다, 향상시키다"
2,prepare,to get ready for something that will happen,2,준비하다
3,attend,to be present at a place or event,2,참석하다
3,borrow,to take something and return it later,2,빌리다
3,create,to make something new,2,"창조하다, 만들어 내다"
3,explain,to make an idea clear by giving details,2,설명하다
3,include,to have something as part of a larger group,2,포함하다
3,notice,to become aware of something,2,알아차리다
4,advice,an opinion about what someone should do,2,"충고, 조언"
4,avoid,to stay away from someone or something,2,피하다
4,collect,to bring things together from different places,2,"모으다, 수집하다"
4,depend,to need or rely on someone or something,2,"의존하다, 의지하다"
4,provide,to give someone something they need,2,제공하다
4,reduce,to make something smaller in amount or size,2,"줄이다, 감소시키다"
5,accept,to agree to receive or take something,2,받아들이다
5,belong,to be the property of someone,2,"~의 것이다, 속하다"
5,decide,to choose what to do after thinking about it,2,결정하다
5,expect,to think that something will probably happen,2,"예상하다, 기대하다"
5,replace,to put something new in place of something else,2,"대체하다, 교체하다"
5,suggest,to tell someone an idea for them to consider,2,제안하다
