day,word,definition,difficulty,korean
1,appearance,[n] the way that someone or something looks to other people; [n] the act of coming into view or starting to exist,2,"외모, (겉)모습; 출현, 등장"
1,emerge,[v] to come out from a hidden or dark place and become visible,2,"(안 보이던 곳에서) 나오다, 나타나다"
1,essential,[adj] completely necessary; extremely important; [adj] relating to the most basic nature of something,2,필수적인; 본질적인
1,major,[adj] very large or important; main; [n] the main subject that a student studies at university,2,"중요한, 주된; 전공(하다); 소령"
1,sake,[n] benefit or advantage for someone or something; [n] the purpose or reason for doing something,2,이익; 목적
1,package,[n] a box or parcel wrapped up and sent by mail; [n] a product together with the container it is sold in,2,소포; 포장한 상품
1,radical,[adj] favoring extreme political or social change; [adj] relating to the most basic and important parts of something,2,"급진적인, 과격한; 근본적인"
1,feature,"[n] a typical or noticeable part or quality of something; [n] a part of the face, such as the eyes, nose or mouth",2,특징(으로 삼다); 이목구비; 용모
1,grant,[v] to officially give or allow what someone asks for; [n] a sum of money given by a government or organization for a purpose,2,"승인(하다), 허락(하다); 보조금"
1,tone,[n] the quality of a voice that shows what someone is feeling; [n] the quality of a musical sound; [n] a shade of a color,2,"어조, 말투; 음색; 색조"
1,relieve,"[v] to make pain, worry or a problem less severe or unpleasant",2,"완화시키다, 덜어주다"
1,phenomenon,"[n] a fact, event or situation that can be observed, especially one that is unusual or not fully understood",2,"현상, 사건"
1,contain,[v] to have something inside or include it as a part; [v] to keep a feeling or a harmful thing under control,2,"포함하다, 함유하다; 억누르다, 억제하다"
1,tickle,[v] to touch someone lightly in a way that makes them laugh or twitch,2,간지럽게 하다
1,absorb,"[v] to take in a liquid, gas or heat; [v] to hold someone's attention completely",2,"흡수하다; 몰두시키다, 열중하게 하다"
1,static,[adj] not moving or changing; fixed; [n] noise or crackling on a radio or television caused by electricity in the air,2,고정된; 정지 상태의; (수신기의) 잡음
1,comfort,[n] a pleasant state of being relaxed and free from pain; [v] to make someone feel less sad or worried,2,"안락, 편안; 위안(하다), 위로(하다)"
1,ensure,[v] to make certain that something happens or is done,2,"보장하다, 반드시 ~하게 하다"
1,derive,"[v] to come or develop from a particular source; [v] to get something, such as pleasure or information, from something",2,"유래하다, 비롯되다; 끌어내다"
1,generate,[v] to produce or create something such as energy or income; [v] to cause a feeling or reaction to exist,2,"발생시키다, 만들어내다; (감정 등을) 일으키다"
1,population,"[n] all the people who live in a particular country, city or area; the number of these people",2,"인구, 주민"
1,demonstrate,[v] to show or prove something clearly by giving evidence or examples; [v] to take part in a public march or meeting to protest,2,"(증거, 실례를 통해) 보여주다, 설명하다; 시위하다"
1,humanity,[n] all people considered together; the human race; [n] kindness and sympathy toward others,2,인류(애); 인간성
1,neutral,"[adj] not supporting either side in an argument, war or contest; [adj] not strong or extreme; in the middle",2,중립(의); 중간의
1,ultimate,[adj] happening at the end of a long process; final; [adj] the best or greatest of its kind,2,"궁극적인, 최종의; 최고의"
1,session,[n] a period of time spent doing a particular activity,2,"(특정 활동을 위한) 시간, 기간"
1,strip,"[v] to take off your clothes; to remove a covering from something; [n] a long narrow piece of paper, cloth, land, etc.",2,옷을 벗다; 벗기다; 빼앗다; 가느다란 조각
1,illusion,[n] a false idea or belief; [n] something that seems to exist or be true but is not real,2,환상; 착각
1,tempt,"[v] to try to persuade someone to do something, especially something wrong or unwise",2,"(좋지 않은 일을 하도록) 유혹하다, 부추기다"
1,modify,"[v] to change something slightly, usually to improve it; [v] to limit or describe the meaning of another word (in grammar)",2,"수정하다; 수식하다, 한정하다"
1,owe,[v] to have to pay back money that you borrowed; [v] to have something because of someone or something else,2,(~에게) 빚지고 있다; (~의) 덕분이다
1,expose,"[v] to uncover something so that it can be seen or affected; [v] to reveal the truth about a person or situation, especially something bad",2,"노출시키다, 드러내다; 폭로하다"
1,passage,"[n] a narrow path or corridor that connects places; [n] a short section of a book, speech or piece of music",2,"통로; 단락, 구절; (시간의) 흐름"
1,register,[v] to put a name or information on an official list; [n] an official list of names or records,2,"등록하다, 기재하다; 등록부, 명부"
